mesh,h_3d,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv40,0.23604019455677508,primitive.p.dx,0.0018445924407504912,0.007304839364901639,0.058692530812217814,1.8463630881606656,1.784285933429178,1.7516143228589822
iv40,0.23604019455677508,primitive.p.dy,0.001863770974302245,0.007408110423934109,0.05879100053479824,1.8338196843050343,1.7701806142203063,1.7525994775130516
iv40,0.23604019455677508,primitive.p.dz,3.633234609954703e-16,1.2510640066640361e-15,3.4405467444973153e-14,,,
iv40,0.23604019455677508,primitive.p.gradient,0.002923868438026578,0.010403882842488107,0.05990125214192135,1.8201681914541024,1.777168340684683,1.7285533444689205
iv40,0.23604019455677508,primitive.p.value,1.8566345090899207e-05,6.559262823298287e-05,0.0005435699706939912,3.351222200332756,3.432471727859585,3.4977889919472
iv40,0.23604019455677508,primitive.rho.dx,0.0014583238380583526,0.005091670013589921,0.039945868643636195,1.8375183415726257,1.783465151881706,1.7541908558387351
iv40,0.23604019455677508,primitive.rho.dy,0.001471120394196664,0.00515834467253682,0.04001541906192135,1.8256475942811832,1.769674468511101,1.7551815151554642
iv40,0.23604019455677508,primitive.rho.dz,2.643627374625937e-16,8.828584293369732e-16,2.21745130174003e-14,,,
iv40,0.23604019455677508,primitive.rho.gradient,0.0023091677641078707,0.007248008229022622,0.040340733367928996,1.815123242389594,1.776512673659081,1.7506241096752684
iv40,0.23604019455677508,primitive.rho.value,1.3601994585287396e-05,4.477074134662568e-05,0.0003529334588775468,3.414625020335993,3.396033104884619,3.4278708606207524
iv40,0.23604019455677508,primitive.u.dx,0.0026391318488861483,0.006507472919973785,0.03425988136915403,1.8084552494151007,1.8000605293155052,1.6935410439984246
iv40,0.23604019455677508,primitive.u.dy,0.004418873196025419,0.01120473131825153,0.061766261246256726,1.8018975570076108,1.7189909147124016,1.5045274901699222
iv40,0.23604019455677508,primitive.u.dz,6.93401681400712e-16,1.725786676633151e-15,2.8994056566669686e-14,,,
iv40,0.23604019455677508,primitive.u.gradient,0.00566229355422531,0.012957361140232153,0.061766278332670704,1.8083638658298424,1.7403034390342802,1.5108352013491844
iv40,0.23604019455677508,primitive.u.value,3.11355959899874e-05,8.913030539312074e-05,0.0007538250763213794,3.2894054969741453,3.0748527045453806,2.4914539540651344
iv40,0.23604019455677508,primitive.v.dx,0.004396563678843058,0.011149046337937734,0.061730749915775984,1.812250957827654,1.7249131102110953,1.5039244624644106
iv40,0.23604019455677508,primitive.v.dy,0.0026391849556975672,0.0065082414072146185,0.0342884579052527,1.8027588024526826,1.7908919111946553,1.6922455452209972
iv40,0.23604019455677508,primitive.v.dz,7.3152019729726725e-16,1.9730023823365676e-15,4.287945634251467e-14,,,
iv40,0.23604019455677508,primitive.v.gradient,0.005642874539390601,0.012909625883814958,0.061730754548365595,1.8114064898061333,1.742255585113725,1.508651359804951
iv40,0.23604019455677508,primitive.v.value,3.139612247882557e-05,9.080964360356818e-05,0.0007456433930184136,3.302800930906969,3.113483228773454,2.8767802103035183
iv40,0.23604019455677508,primitive.w.dx,0.0,0.0,0.0,,,
iv40,0.23604019455677508,primitive.w.dy,0.0,0.0,0.0,,,
iv40,0.23604019455677508,primitive.w.dz,0.0,0.0,0.0,,,
iv40,0.23604019455677508,primitive.w.gradient,0.0,0.0,0.0,,,
iv40,0.23604019455677508,primitive.w.value,0.0,0.0,0.0,,,
iv80,0.11856838008968279,conservative.rho.dx,0.0003844908539612427,0.0013609449005962775,0.010865364685041123,1.936237108267343,1.9163444170953419,1.8909540779031164
iv80,0.11856838008968279,conservative.rho.dy,0.0003832587264129553,0.0013574072124619009,0.01086547802153437,1.9535879657112178,1.9390203734091302,1.8934655389900616
iv80,0.11856838008968279,conservative.rho.dz,4.777917699563025e-16,1.6375855612073254e-15,4.1572712408100955e-14,,,
iv80,0.11856838008968279,conservative.rho.gradient,0.0006034954101980316,0.0019221668405480798,0.01144013542541431,1.9489907385716712,1.9277413908878667,1.8303724597222653
iv80,0.11856838008968279,conservative.rho.value,9.947566759579278e-07,3.8419139281292785e-06,0.00010123430467023908,3.7987319814924283,3.5665075181531543,1.8138265972764298
iv80,0.11856838008968279,conservative.rhoE.dx,0.0024277890181420964,0.008269097220619439,0.08399042907038412,1.9243276730059264,1.8949709097710283,1.8145289110968583
iv80,0.11856838008968279,conservative.rhoE.dy,0.002420869409238372,0.008228108161366328,0.08404124543822888,1.9448152260212626,1.9219432110116694,1.8152023394801684
iv80,0.11856838008968279,conservative.rhoE.dz,2.859997007545815e-15,8.70078572708043e-15,2.0399061481777676e-13,,,
iv80,0.11856838008968279,conservative.rhoE.gradient,0.003801935397563596,0.011665321802642164,0.09554996423242434,1.9359815830926284,1.908515266706289,1.758697745683425
iv80,0.11856838008968279,conservative.rhoE.value,6.573174688738744e-06,2.4843079301951306e-05,0.0007189567584076073,3.731802112002476,3.542013081143843,1.9337025632381193
iv80,0.11856838008968279,conservative.rhou.dx,0.0008466731143868318,0.0022038939837592327,0.01611154042842755,1.9164259233310295,1.8810862309442544,1.7606683294856937
iv80,0.11856838008968279,conservative.rhou.dy,0.0011968977711785261,0.0033250897914419864,0.0303443114736468,1.9453441485711962,1.9219928116181153,1.8475109553806497
iv80,0.11856838008968279,conservative.rhou.dz,1.2678570009357263e-15,3.2853681793478194e-15,6.04360265860817e-14,,,
iv80,0.11856838008968279,conservative.rhou.gradient,0.001601188292330777,0.003989156654332076,0.03040276601726039,1.932482516345212,1.9097496433761691,1.8447158151861254
iv80,0.11856838008968279,conservative.rhou.value,2.5228488833487846e-06,8.153634641561347e-06,0.00017079619410520497,3.7385005882520868,3.5434370197046388,2.104885713424017
iv80,0.11856838008968279,conservative.rhov.dx,0.0011971041005729367,0.0033355525541902656,0.030324493604250713,1.9363095837667332,1.906391691785795,1.846607646860733
iv80,0.11856838008968279,conservative.rhov.dy,0.0008452949927153753,0.0021971100938013685,0.015651709599116825,1.9265923188673642,1.8994007002146842,1.8062631172916392
iv80,0.11856838008968279,conservative.rhov.dz,1.3555772220066193e-15,3.9717579691267216e-15,1.1025101905727416e-13,,,
