mesh,h,location,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv20,0.4682527619525776,node_norms,central_rhs.rhov,0.08800730288265105,0.20216732767590878,1.0216300200995208,-0.16304758712721806,-0.2510060137817917,-0.39063724008958955
iv20,0.4682527619525776,node_norms,central_rhs.rhow,3.4700941293946425e-16,6.366340509662893e-16,5.897085571576257e-15,,,
iv20,0.4682527619525776,node_norms,decomposition_mismatch.rho,4.512692016988072e-16,5.741244108379837e-16,2.7200464103316335e-15,,,
iv20,0.4682527619525776,node_norms,decomposition_mismatch.rhoE,2.08565604081854e-15,2.68758718486153e-15,1.3433698597964394e-14,,,
iv20,0.4682527619525776,node_norms,decomposition_mismatch.rhou,6.829030451225054e-16,8.840999089028699e-16,3.941291737419306e-15,,,
iv20,0.4682527619525776,node_norms,decomposition_mismatch.rhov,6.58116530116756e-16,8.513971590655559e-16,3.819190244006704e-15,,,
iv20,0.4682527619525776,node_norms,decomposition_mismatch.rhow,7.47757257289508e-17,1.3426919884659869e-16,1.1439753148642668e-15,,,
iv20,0.4682527619525776,node_norms,gradient_error.rho,0.008006532236897866,0.02447491661516138,0.13382727344125328,1.318759531711661,1.3107656119998279,1.121010457273879
iv20,0.4682527619525776,node_norms,gradient_error.rhoE,0.048847611514206205,0.14018173935305883,0.931145637744507,1.4097927414401545,1.2798984353165144,0.9554965022456838
iv20,0.4682527619525776,node_norms,gradient_error.rhou,0.020776166713505562,0.04846243990513182,0.3296433699092682,1.4617865378346475,1.303784818220782,0.7759409398126996
iv20,0.4682527619525776,node_norms,gradient_error.rhov,0.02073515532423622,0.048367438303569606,0.3287520766558776,1.465475182691276,1.3122324291764058,0.8199121326968681
iv20,0.4682527619525776,node_norms,gradient_error.rhow,0.0,0.0,0.0,,,
iv20,0.4682527619525776,node_norms,point_error.rho,0.00014106990174613852,0.0004584532561227102,0.003693730127706907,3.2499282253292066,3.062060498324433,2.264607798122138
iv20,0.4682527619525776,node_norms,point_error.rhoE,0.0008737859246606517,0.0026760862615877183,0.023610449679110523,3.0569358504816093,2.834460323922421,1.9557261194831035
iv20,0.4682527619525776,node_norms,point_error.rhou,0.00033971453985071157,0.0008545166972613854,0.005772460830354431,2.885378238264069,2.62669472034083,2.16789608207843
iv20,0.4682527619525776,node_norms,point_error.rhov,0.00034910545480121004,0.0008748761390036151,0.005671414514740514,2.841637177501295,2.601817993229592,2.192083791433502
iv20,0.4682527619525776,node_norms,point_error.rhow,0.0,0.0,0.0,,,
iv20,0.4682527619525776,node_norms,production_rhs.rho,0.028282578312298603,0.09267819635651704,0.5445306088719964,0.4718452866618431,0.3600152846666887,0.7281492551204973
iv20,0.4682527619525776,node_norms,production_rhs.rhoE,0.16679244300065796,0.45206822003531444,2.6716215065242297,0.45557883842356717,0.3563393097696901,0.751388090057945
iv20,0.4682527619525776,node_norms,production_rhs.rhou,0.08732254513218307,0.21123607325692031,1.343587691253678,0.21882901804970412,0.1961432215551784,0.2218965535754353
iv20,0.4682527619525776,node_norms,production_rhs.rhov,0.09319223593443474,0.21321705190034848,1.1270998897930629,0.2692772910777712,0.18483530820572608,0.02970592431230157
iv20,0.4682527619525776,node_norms,production_rhs.rhow,3.848394661164708e-16,6.576821355603822e-16,6.153480596427398e-15,,,
iv40,0.2360401945567821,face_norms,M2.D.rho,0.0002949360473460696,0.0012686873197844777,0.014661360314983218,2.7283651607068604,2.7020128266800523,2.8254861380674097
iv40,0.2360401945567821,face_norms,M2.D.rhoE,0.0018442218780055307,0.007592133423101848,0.11330404074272948,2.680243198445136,2.6083599900293053,2.162782984388314
iv40,0.2360401945567821,face_norms,M2.D.rhou,0.0007690720657383596,0.0026322729503783977,0.03823806965948373,2.74048052512689,2.624366791446844,2.2501120790492313
iv40,0.2360401945567821,face_norms,M2.D.rhov,0.0007698882654706072,0.002613898148840869,0.038139721680751304,2.7452591145711396,2.6480133982338834,2.27873007493456
iv40,0.2360401945567821,face_norms,M2.D.rhow,1.0616075684033341e-17,4.4695835656863407e-17,4.440892098500626e-16,,,
iv40,0.2360401945567821,face_norms,M2.integrated_D.rho,1.0057861898791513e-05,4.341407272711124e-05,0.0005290655352939918,4.679423537219053,4.649725379938479,4.580157903664408
iv40,0.2360401945567821,face_norms,M2.integrated_D.rhoE,6.284608774346663e-05,0.00025943915100918116,0.003607992486675999,4.634308247267333,4.56006805723475,4.216316392210434
iv40,0.2360401945567821,face_norms,M2.integrated_D.rhou,2.6246921845058173e-05,9.013796761185831e-05,0.0013797974881771073,4.6980201582513965,4.590914594423848,4.121481460601177
iv40,0.2360401945567821,face_norms,M2.integrated_D.rhov,2.628462980673497e-05,8.966542476471253e-05,0.0013762486611690174,4.699113989991095,4.601130283158887,4.079363353261923
iv40,0.2360401945567821,face_norms,M2.integrated_D.rhow,5.569417497391809e-19,2.351287103591063e-18,2.4037033579817345e-17,,,
iv40,0.2360401945567821,face_norms,Roe.D.rho,0.00028260614199314714,0.0009776769340876712,0.010140873832779063,2.711787667069386,2.6317121196181716,2.709942783902475
iv40,0.2360401945567821,face_norms,Roe.D.rhoE,0.001733031882071358,0.006401841808686234,0.08889297839808563,2.7094856086274257,2.5810850947605384,2.1752563455042306
iv40,0.2360401945567821,face_norms,Roe.D.rhou,0.0005690750217136253,0.002032672750411358,0.02781160705761998,2.7398052528488406,2.6096728757238656,2.608843348367384
