mesh,h,location,quantity,L1,L2,Linf,order_L1,order_L2,order_Linf
iv80,0.11856838008967348,quadrature_norms,M2.Fnum.rhoE,0.0001882313037526336,0.0007945009674879407,0.012586825371488253,2.91987426411321,2.886437144836646,2.904206291093978
iv80,0.11856838008967348,quadrature_norms,Roe.Fnum.rho,2.9004782885672125e-05,0.00010222488444665069,0.0012405256110707974,2.9342750665055926,2.908661948734221,2.9855742558508984
iv80,0.11856838008967348,quadrature_norms,Roe.Fnum.rhou,5.88538338944645e-05,0.00021494387440999156,0.0032508364837862125,2.924811738156018,2.8971039302908332,2.9880429994509337
iv80,0.11856838008967348,quadrature_norms,Roe.Fnum.rhov,5.891727423560698e-05,0.00021555647452856355,0.003340994863141322,2.9238971343648195,2.8824421208350546,2.949352255520647
iv80,0.11856838008967348,quadrature_norms,Roe.Fnum.rhow,1.0240608640197316e-17,4.121897243320469e-17,4.440892098500626e-16,,,
iv80,0.11856838008967348,quadrature_norms,Roe.Fnum.rhoE,0.0001807907380861374,0.000684021932991962,0.010070162020512363,2.9181702818958226,2.8884194824567486,3.0495709222037304
iv80,0.11856838008967348,face_mean_norms,jump.rho,2.8892558327339454e-05,0.00012338648703696784,0.001286028366207462,2.9404557519199503,2.9093140860979214,2.774499668786298
iv80,0.11856838008967348,face_mean_norms,jump.rhou,7.590915751476555e-05,0.00025491230638253635,0.0031281032180217124,2.914906972461413,2.889698158056887,2.7632693618621467
iv80,0.11856838008967348,face_mean_norms,jump.rhov,7.587438476010342e-05,0.00025529722881116796,0.003140046154057421,2.9159539611969003,2.8803246028871903,2.7479516685291876
iv80,0.11856838008967348,face_mean_norms,jump.rhow,0.0,0.0,0.0,,,
iv80,0.11856838008967348,face_mean_norms,jump.rhoE,0.00018123757275167874,0.0007468567175639109,0.010335171427315087,2.9220920072911514,2.886647227820425,2.7226909258205088
iv80,0.11856838008967348,face_mean_norms,M2.Fnum.rho,2.952949304364879e-05,0.00012891680576147718,0.0016426413031375112,2.941949684040557,2.9104959929114718,2.7741814198900916
iv80,0.11856838008967348,face_mean_norms,M2.Fnum.rhou,7.872797530362797e-05,0.00027320070859656914,0.004204792489993919,2.914079360292469,2.8893777174642663,2.813393142603166
iv80,0.11856838008967348,face_mean_norms,M2.Fnum.rhov,7.86803169600324e-05,0.00027332942119725996,0.004204844542573712,2.9163362437918607,2.8784997484264627,2.809072248121613
iv80,0.11856838008967348,face_mean_norms,M2.Fnum.rhow,2.493276275322726e-18,5.9561894211685555e-18,7.834133151048813e-17,,,
iv80,0.11856838008967348,face_mean_norms,M2.Fnum.rhoE,0.00018819634910940503,0.0007937035851656939,0.010846480027714113,2.919865576802631,2.8849965566772204,2.947019716359527
iv80,0.11856838008967348,face_mean_norms,Roe.Fnum.rho,2.895110177665812e-05,0.0001019670721018924,0.001123474500364854,2.9318432619406742,2.9047123879375545,2.7555259683167366
iv80,0.11856838008967348,face_mean_norms,Roe.Fnum.rhou,5.881322180094969e-05,0.00021440665572180622,0.0031989457274518877,2.9222333752272824,2.892649703860305,2.7674157422001637
iv80,0.11856838008967348,face_mean_norms,Roe.Fnum.rhov,5.888359947307358e-05,0.00021502156122679857,0.0031987953949013837,2.921581894001917,2.8792705584361276,2.764382191790664
iv80,0.11856838008967348,face_mean_norms,Roe.Fnum.rhow,2.4946201871185537e-18,5.956350851626255e-18,7.834133151048813e-17,,,
iv80,0.11856838008967348,face_mean_norms,Roe.Fnum.rhoE,0.0001805835399711081,0.0006822448323452237,0.008705324883491208,2.914770984851581,2.8845836788729198,2.9269233639296623
